Entry,Gene,Organism
Q9Y6D6,ARFGEF1,Human
Q14692,BMS1,Human
Q14137,BOP1,Human
Q13895,BYSL,Human
Q96FC9,DDX11,Human
Q9NVP1,DDX18,Human
Q9H0S4,DDX47,Human
Q8TDD1,DDX54,Human
Q9NY93,DDX56,Human
O43143,DHX15,Human
Q9UNQ2,DIMT1,Human
Q9Y2L1,DIS3,Human
O60832,DKC1,Human
Q5F1R6,DNAJC21,Human
P56537,EIF6,Human
Q9Y3B2,EXOSC1,Human
Q13868,EXOSC2,Human
Q9NQT5,EXOSC3,Human
Q9NPD3,EXOSC4,Human
P22087,FBL,Human
Q9Y324,FCF1,Human
P39748,FEN1,Human
O43681,GET3,Human
Q13823,GNL2,Human
Q9BQ67,GRWD1,Human
Q9BZE4,GTPBP4,Human
P38646,HSPA9,Human
Q9NV31,IMP3,Human
Q96G21,IMP4,Human
Q92993,KAT5,Human
Q13601,KRR1,Human
Q9UKD2,MRTO4,Human
Q9H0A0,NAT10,Human
Q9NX24,NHP2,Human
Q9Y221,NIP7,Human
Q9NVX2,NLE1,Human
Q96D46,NMD3,Human
Q9Y3T9,NOC2L,Human
Q8WTT2,NOC3L,Human
Q9BSC4,NOL10,Human
Q9NZM5,NOP53,Human
O00567,NOP56,Human
Q9Y2X3,NOP58,Human
O95478,NSA2,Human
Q08J23,NSUN2,Human
O15381,NVL,Human
Q9NTK5,OLA1,Human
O00541,PES1,Human
Q9NRX1,PNO1,Human
O95602,POLR1A,Human
Q9H9Y6,POLR1B,Human
P36954,POLR2I,Human
Q9Y2Y1,POLR3K,Human
Q13610,PWP1,Human
Q9Y4C8,RBM19,Human
Q9Y2P8,RCL1,Human
Q9H9Y2,RPF1,Human
Q9H7B2,RPF2,Human
P62913,RPL11,Human
P39023,RPL3,Human
P46777,RPL5,Human
P23396,RPS3,Human
Q5JTH9,RRP12,Human
O43818,RRP9,Human
Q9UHA3,RSL24D1,Human
Q9Y3A5,SBDS,Human
P55769,SNU13,Human
Q12788,TBL3,Human
P11387,TOP1,Human
Q8TBZ6,TRMT10A,Human
O75691,UTP20,Human
Q9BRU9,UTP23,Human
Q9GZL7,WDR12,Human
Q9UNX4,WDR3,Human
O15213,WDR46,Human
Q9H0D6,XRN2,Human
O75312,ZPR1,Human
Q3SZ40,DDX56,Cow
Q2KHT8,DIMT1,Cow
Q9TU47,EIF6,Cow
Q3T0E1,EXOSC3,Cow
Q7YRA3,EXOSC4,Cow
Q32PD0,FCF1,Cow
Q58DH8,FEN1,Cow
A5PJI5,GET3,Cow
Q0VD01,IMP4,Cow
Q3B7L9,KRR1,Cow
A4FV84,MRTO4,Cow
Q58D20,NLE1,Cow
Q3SYU1,NOC2L,Cow
Q3SX11,NSA2,Cow
Q2HJ33,OLA1,Cow
Q7YRD0,PNO1,Cow
Q2KHX8,RCL1,Cow
Q3T087,RPL11,Cow
P39872,RPL3,Cow
Q58DW5,RPL5,Cow
Q3T169,RPS3,Cow
Q3SZ12,RSL24D1,Cow
Q3B8S0,SNU13,Cow
Q0VC24,WDR12,Cow
Q2TBX0,ZNF259,Cow
G3X9K3,Arfgef1,Mouse
