Entry,Gene,Organism
P35573,AGL,Human
Q9Y6D6,ARFGEF1,Human
O43709,BUD23,Human
Q9Y2L1,DIS3,Human
Q5F1R6,DNAJC21,Human
O75821,EIF3G,Human
P56537,EIF6,Human
P04406,GAPDH,Human
Q9BQ67,GRWD1,Human
P08238,HSP90AB1,Human
Q15046,KARS1,Human
Q92993,KAT5,Human
Q13601,KRR1,Human
Q9H089,LSG1,Human
Q9UKD2,MRTO4,Human
Q96D46,NMD3,Human
P53384,NUBP1,Human
O15381,NVL,Human
Q9UBU9,NXF1,Human
Q02218,OGDH,Human
Q9NTK5,OLA1,Human
Q13526,PIN1,Human
P14618,PKM,Human
P22694,PRKACB,Human
Q02156,PRKCE,Human
Q99873,PRMT1,Human
P54727,RAD23B,Human
Q9BVS4,RIOK2,Human
P23396,RPS3,Human
P08865,RPSA,Human
Q9Y265,RUVBL1,Human
Q9Y230,RUVBL2,Human
P49591,SARS1,Human
Q9Y3A5,SBDS,Human
P62316,SNRPD2,Human
Q32P41,TRMT5,Human
O95801,TTC4,Human
Q93009,USP7,Human
P61758,VBP1,Human
Q07352,ZFP36L1,Human
O75312,ZPR1,Human
Q58DP0,BUD23,Cow
Q9TU47,EIF6,Cow
P10096,GAPDH,Cow
Q76LV1,HSP90AB1,Cow
A4FV84,MRTO4,Cow
Q148N0,OGDH,Cow
Q2HJ33,OLA1,Cow
Q5BIN5,PIN1,Cow
Q3T169,RPS3,Cow
P26452,RPSA,Cow
Q9GMB8,SARS1,Cow
Q3SZF8,SNRPD2,Cow
Q3MHN8,TRMT5,Cow
Q2TBX0,ZNF259,Cow
G3X9K3,Arfgef1,Mouse
Q9CY21,Bud23,Mouse
Q9CSH3,Dis3,Mouse
E9Q8D0,Dnajc21,Mouse
Q9Z1D1,Eif3g,Mouse
O55135,Eif6,Mouse
P16858,Gapdh,Mouse
Q810D6,Grwd1,Mouse
P11499,Hsp90ab1,Mouse
Q99MN1,Kars1,Mouse
Q8CHK4,Kat5,Mouse
Q3UM18,Lsg1,Mouse
Q99L48,Nmd3,Mouse
Q9R060,Nubp1,Mouse
Q9DBY8,Nvl,Mouse
Q99JX7,Nxf1,Mouse
Q60597,Ogdh,Mouse
Q9CZ30,Ola1,Mouse
Q9QUR7,Pin1,Mouse
P52480,Pkm,Mouse
P68181,Prkacb,Mouse
P16054,Prkce,Mouse
Q9JIF0,Prmt1,Mouse
P62908,Rps3,Mouse
P14206,Rpsa,Mouse
P26638,Sars1,Mouse
P70122,Sbds,Mouse
P62317,Snrpd2,Mouse
Q9D0C4,Trmt5,Mouse
Q8R3H9,Ttc4,Mouse
P61759,Vbp1,Mouse
P23950,Zfp36l1,Mouse
Q62384,Zpr1,Mouse
Q6ZM19,eif6,Zebrafish
Q5BLF0,nmd3,Zebrafish
Q7ZU42,ola1,Zebrafish
Q803F6,rpsa,Zebrafish
Q6DRC0,sars1,Zebrafish
B8A5G9,trmt5,Zebrafish
A1Z6M6,Dpit47,Fly
Q9U1H9,sbr,Fly
P38979,sta,Fly
Q8IRE4,,Fly
O62106,eif-6,Worm
Q23202,sbds-1,Worm
A8WHT1,,Worm
Q99257,MEX67,Yeast
P33201,MRT4,Yeast
P38861,NMD3,Yeast
Q12522,TIF6,Yeast
P38793,TRM5,Yeast
P53303,ZPR1,Yeast
Q6P8D1,rpsa,Frog
Q6DIT8,sbds,Frog
F6VSS6,trmt5,Frog
