"Organism","Core or NonCore","Mean of Sample Mean","Standard Deviation","Mean of Sample Mean First","Std Dev First","Mean of Sample Mean Second","Std Dev Second","Mean of Sample Mean Third","Std Dev Third"
"Human","Core","1.7006841465945928","0.2841097894899727","1.4724584475016245","0.31704982709172347","1.3695784728985934","0.7137575951199013","2.2684882390788808","0.6084185870819205"
"Human","NonCore","2.624041231458129","0.1531723740990512","3.013179231348265","0.17775184241415662","2.258765166128081","0.1929533756539705","2.5993132203436486","0.20293999418615372"
"Cow","Core","1.2171644768928367","0.019981378301287323","1.2171705690687276","0.5599378646662119","0.9505190573615215","0.6312419489277865","1.485077908421757","0.01189178854794004"
"Cow","NonCore","2.6278694358749735","0.3850092222028855","3.048338989934711","0.4463295500892485","2.209915524960713","0.4347914849216674","2.622841685707468","0.48272710941240043"
"Mouse","Core","1.341043938568603","0.2732149301067011","1.221961525069462","0.2704474700801808","0.6516426545213239","0.30644080089094317","2.149945096676094","0.7324584385417202"
"Mouse","NonCore","2.616435708592745","0.16926080704455188","3.0628886598965828","0.20948961967752483","2.2254063774731305","0.2065886049518108","2.559731210468177","0.21746010907151322"
"Zebrafish","Core","1.7064263748191029","0.11267637481910275","2.104301948051948","0.20819805194805194","0.3535326086956522","0.11603260869565217","2.6612771739130436","0.4300271739130434"
"Zebrafish","NonCore","1.613807341572327","0.2551722583750262","2.297750852555518","0.6499017226065894","0.5578341954315627","0.10467841927293063","1.9868185675827292","0.522220254673922"
"Fly","Core","0.8555798687089715","Cannot Calculate","1.4444444444444444","Cannot Calculate","0.25","Cannot Calculate","0.868421052631579","Cannot Calculate"
"Fly","NonCore","3.050166579810449","0.7392376099032436","2.1478514920045253","0.5408634478694739","2.257297531014653","1.1759596964339263","4.759729295095148","1.6300237142610852"
"Worm","Core","1.1708860759493671","Cannot Calculate","0.7278481012658228","Cannot Calculate","0.18354430379746836","Cannot Calculate","2.6012658227848102","Cannot Calculate"
"Worm","NonCore","3.173698789836925","0.520996216483643","4.183061670068679","0.8233433175186011","2.7141189841489273","0.6153960062825637","2.61655089197301","0.727426625130818"
"Yeast","Core","2.2892244999987565","0.8168618332692462","2.2498261306514364","0.7484526151296031","1.547501865538719","1.207122449216038","3.0712157687706942","0.5496572598843175"
"Yeast","NonCore","2.1388697609178804","0.08786631282319776","2.35899454162939","0.12004544917190692","1.6416641351142782","0.1062906479093919","2.418410051441858","0.15941849777613704"
"Frog","Core","1.236842105263158","Cannot Calculate","1.4606060606060607","Cannot Calculate","0.10909090909090909","Cannot Calculate","2.1463414634146343","Cannot Calculate"
"Frog","NonCore","1.2376135263545824","0.22164396861871527","1.8571515684311624","0.4149079094333125","0.38890903064078397","0.0928850897741313","1.4594391155123716","0.47348125231663785"
