Entry,Gene,Organism
Q9NY61,AATF,Human
Q9ULW3,ABT1,Human
P55265,ADAR,Human
P78563,ADARB1,Human
Q8WTP8,AEN,Human
O43823,AKAP8,Human
Q9NXW9,ALKBH4,Human
P03950,ANG,Human
O75179,ANKRD17,Human
Q8N6M6,AOPEP,Human
P27695,APEX1,Human
Q7Z2E3,APTX,Human
P40617,ARL4A,Human
P49703,ARL4D,Human
O15265,ATXN7,Human
Q9UIF9,BAZ2A,Human
O75934,BCAS2,Human
Q5T5X7,BEND3,Human
Q8TDN6,BRIX1,Human
Q13901,C1D,Human
Q07021,C1QBP,Human
Q6UWU4,C6orf89,Human
Q16790,CA9,Human
O75081,CBFA2T3,Human
O15446,CD3EAP,Human
O60729,CDC14B,Human
Q69YH5,CDCA2,Human
Q53HL2,CDCA8,Human
Q8N726,CDKN2A,Human
P49715,CEBPA,Human
Q5EE01,CENPW,Human
Q6P2H3,CEP85,Human
Q49MI3,CERKL,Human
O15182,CETN3,Human
Q9P2D1,CHD7,Human
Q9Y3Y2,CHTOP,Human
Q8WXC6,COPS9,Human
P31327,CPS1,Human
P49711,CTCF,Human
Q9UER7,DAXX,Human
Q5H9S7,DCAF17,Human
Q9NR30,DDX21,Human
Q96GQ7,DDX27,Human
Q9H8H2,DDX31,Human
P17844,DDX5,Human
Q9BQ39,DDX50,Human
Q8N8A6,DDX51,Human
Q9Y2R4,DDX52,Human
O75618,DEDD,Human
Q8WXF8,DEDD2,Human
Q8WYQ5,DGCR8,Human
Q9H6R0,DHX33,Human
Q08211,DHX9,Human
Q68CQ4,DIEXF,Human
P25685,DNAJB1,Human
Q9NRR4,DROSHA,Human
Q66K89,E4F1,Human
Q99848,EBNA1BP2,Human
P68104,EEF1A1,Human
Q96AY2,EME1,Human
Q8N8Q3,ENDOV,Human
Q8IV48,ERI1,Human
Q9H501,ESF1,Human
Q01780,EXOSC10,Human
Q9NQT4,EXOSC5,Human
Q5RKV6,EXOSC6,Human
Q15024,EXOSC7,Human
Q96B26,EXOSC8,Human
Q06265,EXOSC9,Human
Q8IZU1,FAM9A,Human
Q969H0,FBXW7,Human
Q92913,FGF13,Human
Q9NZ56,FMN2,Human
Q06787,FMR1,Human
Q9H334,FOXP1,Human
Q14331,FRG1,Human
Q8IY81,FTSJ3,Human
Q7L622,G2E3,Human
Q9NY12,GAR1,Human
P16383,GCFC2,Human
P57678,GEMIN4,Human
Q9BVP2,GNL3,Human
Q9NVN8,GNL3L,Human
Q9NW75,GPATCH2,Human
A4D1E9,GTPBP10,Human
Q9H116,GZF1,Human
Q5JVS0,HABP4,Human
O96004,HAND1,Human
Q9H583,HEATR1,Human
Q8NCD3,HJURP,Human
Q14527,HLTF,Human
P22626,HNRNPA2B1,Human
P52272,HNRNPM,Human
P11142,HSPA8,Human
Q12905,ILF2,Human
Q12906,ILF3,Human
Q9C086,INO80B,Human
O00410,IPO5,Human
Q96AZ6,ISG20,Human
Q9H9L3,ISG20L2,Human
Q6NYC1,JMJD6,Human
Q92794,KAT6A,Human
Q8NHM5,KDM2B,Human
P29375,KDM5A,Human
O75525,KHDRBS3,Human
Q96Q89,KIF20B,Human
O95239,KIF4A,Human
Q92876,KLK6,Human
Q8IZD2,KMT2E,Human
Q1ED39,KNOP1,Human
P05783,KRT18,Human
Q9UN81,L1RE1,Human
Q9Y468,L3MBTL1,Human
Q9Y4W2,LAS1L,Human
Q9H9Z2,LIN28A,Human
Q6ZN17,LIN28B,Human
Q9BRT6,LLPH,Human
Q8IZ02,LRRC34,Human
Q9NX58,LYAR,Human
Q9BXY0,MAK16,Human
P56192,MARS1,Human
D6RGH6,MCIDAS,Human
Q96EZ8,MCRS1,Human
Q9P1T7,MDFIC,Human
Q9NU22,MDN1,Human
Q9HAF1,MEAF6,Human
Q15648,MED1,Human
Q504T8,MIDN,Human
P46013,MKI67,Human
O00566,MPHOSPH10,Human
Q99547,MPHOSPH6,Human
Q9BYG7,MRO,Human
Q86UE4,MTDH,Human
P42285,MTREX,Human
Q96NY9,MUS81,Human
Q9BQG0,MYBBP1A,Human
O00159,MYO1C,Human
O75113,N4BP1,Human
Q96HR8,NAF1,Human
P19338,NCL,Human
Q8NG66,NEK11,Human
P51955,NEK2,Human
Q6NW34,NEPRO,Human
P21359,NF1,Human
Q8NEJ9,NGDN,Human
Q9BYG3,NIFK,Human
O15226,NKRF,Human
P59047,NLRP5,Human
P22392,NME2,Human
Q9BVI4,NOC4L,Human
Q9H8H0,NOL11,Human
Q9UGY1,NOL12,Human
O60936,NOL3,Human
O94818,NOL4,Human
Q9H6R4,NOL6,Human
Q9UMY1,NOL7,Human
Q76FK4,NOL8,Human
Q5SY16,NOL9,Human
Q14978,NOLC1,Human
Q5C9Z4,NOM1,Human
Q15233,NONO,Human
Q9NPE3,NOP10,Human
P78316,NOP14,Human
Q9Y3C1,NOP16,Human
P46087,NOP2,Human
Q9NPH5,NOX4,Human
P06748,NPM1,Human
O75607,NPM3,Human
Q9H7Z3,NRDE2,Human
Q96DE0,NUDT16,Human
O15504,NUP42,Human
Q9BXS6,NUSAP1,Human
Q9Y530,OARD1,Human
Q15646,OASL,Human
Q9UQ80,PA2G4,Human
Q9NWT1,PAK1IP1,Human
O95453,PARN,Human
P09874,PARP1,Human
Q53GL7,PARP10,Human
Q86TB9,PATL1,Human
Q14690,PDCD11,Human
O15055,PER2,Human
O75151,PHF2,Human
Q8IWS0,PHF6,Human
Q9UPP1,PHF8,Human
Q8WV24,PHLDA1,Human
Q9BSJ6,PIMREG,Human
Q96BK5,PINX1,Human
Q9H4B4,PLK3,Human
O00444,PLK4,Human
P29590,PML,Human
Q8ND90,PNMA1,Human
Q9UL42,PNMA2,Human
Q9GZS1,POLR1E,Human
P52434,POLR2H,Human
Q99575,POP1,Human
O95707,POP4,Human
Q969H6,POP5,Human
O75817,POP7,Human
Q9NQ55,PPAN,Human
Q08752,PPID,Human
P62136,PPP1CA,Human
P62140,PPP1CB,Human
P36873,PPP1CC,Human
Q5T8A7,PPP1R26,Human
Q9H875,PRKRIP1,Human
P55345,PRMT2,Human
Q8WXF1,PSPC1,Human
Q15397,PUM3,Human
Q15269,PWP2,Human
Q9BRP8,PYM1,Human
Q92737,RASL10A,Human
Q6T310,RASL11A,Human
Q7Z6E9,RBBP6,Human
Q8N0T1,RBIS,Human
Q96PK6,RBM14,Human
Q9NW13,RBM28,Human
P42696,RBM34,Human
Q9BWF3,RBM4,Human
Q9BQ04,RBM4B,Human
Q9Y580,RBM7,Human
Q9P258,RCC2,Human
Q8NG50,RDM1,Human
Q9GZR2,REXO4,Human
P41220,RGS2,Human
Q8IUF8,RIOX2,Human
O95059,RPP14,Human
Q9H633,RPP21,Human
Q9BUL9,RPP25,Human
P78346,RPP30,Human
P78345,RPP38,Human
O75818,RPP40,Human
P46783,RPS10,Human
Q86WX3,RPS19BP1,Human
Q9NYV6,RRN3,Human
P56182,RRP1,Human
Q14684,RRP1B,Human
Q96EU6,RRP36,Human
O43159,RRP8,Human
Q15050,RRS1,Human
O76021,RSL1D1,Human
Q96FQ6,S100A16,Human
Q9HAJ7,SAP30L,Human
Q9NVU7,SDAD1,Human
Q9H190,SDCBP2,Human
Q9H4L4,SENP3,Human
Q96HI0,SENP5,Human
Q01105,SET,Human
Q7Z333,SETX,Human
Q96ST3,SIN3A,Human
Q96EB6,SIRT1,Human
Q9NRC8,SIRT7,Human
Q86US8,SMG6,Human
Q86W54,SPATA24,Human
Q9NUQ6,SPATS2L,Human
Q9Y657,SPIN1,Human
Q68D10,SPTY2D1,Human
Q9UHB9,SRP68,Human
Q08945,SSRP1,Human
Q9NUL3,STAU2,Human
Q8TDR2,STK35,Human
Q6ZVD7,STOX1,Human
O75683,SURF6,Human
Q53T94,TAF1B,Human
Q9NR00,TCIM,Human
Q13428,TCOF1,Human
O95551,TDP2,Human
O14746,TERT,Human
Q9NXF1,TEX10,Human
Q96RS0,TGS1,Human
Q9BVT8,TMUB1,Human
Q96GM8,TOE1,Human
Q02880,TOP2B,Human
P12270,TPR,Human
Q9BWF2,TRAIP,Human
Q8WW01,TSEN15,Human
Q8NCE0,TSEN2,Human
Q9BSV6,TSEN34,Human
Q7Z6J9,TSEN54,Human
Q9H0U9,TSPYL1,Human
Q2NL82,TSR1,Human
Q15361,TTF1,Human
Q9H6E5,TUT1,Human
Q3B726,TWISTNB,Human
Q13404,UBE2V1,Human
P17480,UBTF,Human
O60287,URB1,Human
Q14146,URB2,Human
Q0WX57,USP17L24; USP17L25; USP17L26; USP17L27; USP17L28; USP17L29; USP17L30,Human
Q9P275,USP36,Human
Q9Y3A2,UTP11,Human
Q9BVJ6,UTP14A,Human
Q5TAP6,UTP14C,Human
Q8TED0,UTP15,Human
Q9Y5J1,UTP18,Human
Q969X6,UTP4,Human
Q9NYH9,UTP6,Human
Q9BV38,WDR18,Human
Q8NI36,WDR36,Human
Q15061,WDR43,Human
Q9H6Y2,WDR55,Human
Q6RFH5,WDR74,Human
Q8IWA0,WDR75,Human
Q14191,WRN,Human
O14980,XPO1,Human
P13010,XRCC5,Human
Q96QA6,YPEL2,Human
P61236,YPEL3,Human
Q96NS1,YPEL4,Human
Q9H869,YY1AP1,Human
P86452,ZBED6,Human
O95625,ZBTB11,Human
Q9NP64,ZCCHC17,Human
Q9H5U6,ZCCHC4,Human
Q8N3Z6,ZCCHC7,Human
Q6NZY4,ZCCHC8,Human
Q8N567,ZCCHC9,Human
O60293,ZFC3H1,Human
Q9HA38,ZMAT3,Human
Q9H2Y7,ZNF106,Human
Q9Y3S2,ZNF330,Human
Q9UL40,ZNF346,Human
Q96PM9,ZNF385A,Human
Q96CX3,ZNF501,Human
O00488,ZNF593,Human
Q96NB3,ZNF830,Human
Q9P1U0,ZNRD1,Human
Q148M8,ABT1,Cow
Q3T0M9,ARL4A,Cow
Q0VC18,ARL4D,Cow
Q32PE4,C1D,Cow
Q3T0B6,C1QBP,Cow
Q3SYW9,CHTOP,Cow
Q32PD7,COPS9,Cow
A1A4H6,DDX27,Cow
A6QR44,DGCR8,Cow
Q28141,DHX9,Cow
P68103,EEF1A1,Cow
A4IFD2,FOXP1,Cow
Q3T0J9,GNL3L,Cow
Q3MHG6,GTPBP10,Cow
Q0VCE2,HAND1,Cow
Q2HJ60,HNRNPA2B1,Cow
P19120,HSPA8,Cow
Q2YDK1,ISG20L2,Cow
Q58DS6,JMJD6,Cow
Q1RML7,MAK16,Cow
Q58CU0,MEAF6,Cow
Q2HJ27,MYC,Cow
Q2KII6,NGDN,Cow
Q3SZM1,NIFK,Cow
E1BPN0,NOL9,Cow
Q5E996,NOP16,Cow
Q2YDJ0,NUSAP1,Cow
Q1LZ74,OARD1,Cow
P69341,PARN,Cow
Q08DR0,PHF6,Cow
A2VDZ4,PLK4,Cow
Q0II25,POP7,Cow
P26882,PPID,Cow
Q3T0E7,PPP1CA,Cow
Q3SWW9,PPP1CB,Cow
P61287,PPP1CC,Cow
A6QPH1,PYM1,Cow
A8YXZ5,RBIS,Cow
Q3MHX3,RBM4,Cow
Q3MHY8,RBM7,Cow
Q5EA24,RIOX2,Cow
Q3T0F4,RPS10,Cow
A6H7J2,RPS19BP1,Cow
A6QNR1,RRP36,Cow
A4FV97,RSL1D1,Cow
Q0VCM0,S100A16,Cow
Q0P595,SIRT7,Cow
Q0VCY3,SURF6,Cow
Q1JQD6,TAF1B,Cow
Q5E969,TCIM,Cow
Q3ZBI9,TMUB1,Cow
Q17QN2,TOE1,Cow
Q0P5N2,TSPYL1,Cow
Q3SZ52,UBE2V1,Cow
Q3T0Q8,UTP14A,Cow
A7MB12,UTP15,Cow
Q08DU1,UTP23,Cow
Q3SZD4,WDR18,Cow
Q58DT8,WDR55,Cow
Q58D06,WDR74,Cow
Q2YDI3,YPEL2,Cow
A6QPH8,YPEL3,Cow
E1BGQ2,ZCCHC4,Cow
Q0IIC4,ZMAT3,Cow
A6QPT6,ZNF274,Cow
Q1RMP0,ZNRD1,Cow
Q9JKX4,Aatf,Mouse
Q9QYL7,Abt1,Mouse
Q99MU3,Adar,Mouse
Q91ZS8,Adarb1,Mouse
Q9CZI9,Aen,Mouse
O55112,Aff2,Mouse
Q9DBR0,Akap8,Mouse
Q9D8F1,Alkbh4,Mouse
