Entry,Gene,Organism
Q9NQ94,A1CF,Human
Q9H7C9,AAMDC,Human
Q8IZP0,ABI1,Human
Q9NX38,ABITRAM,Human
P00519,ABL1,Human
Q15018,ABRAXAS2,Human
Q9NPJ3,ACOT13,Human
O43707,ACTN4,Human
Q8TDG2,ACTRT1,Human
Q9NPF8,ADAP2,Human
P55265,ADAR,Human
Q8NDL9,AGBL5,Human
Q9UKV8,AGO2,Human
P35869,AHR,Human
Q9GZX7,AICDA,Human
O95831,AIFM1,Human
Q96NN9,AIFM3,Human
Q13155,AIMP2,Human
Q96IF1,AJUBA,Human
Q9ULX6,AKAP8L,Human
P31749,AKT1,Human
P31751,AKT2,Human
Q96Q83,ALKBH3,Human
O15296,ALOX15B,Human
P09917,ALOX5,Human
Q86V81,ALYREF,Human
Q5JTC6,AMER1,Human
Q86SJ2,AMIGO2,Human
P03950,ANG,Human
Q9GZV1,ANKRD2,Human
Q6NXT1,ANKRD54,Human
Q7Z6G8,ANKS1B,Human
Q9NQW6,ANLN,Human
P39687,ANP32A,Human
Q02410,APBA1,Human
P27695,APEX1,Human
Q9HC16,APOBEC3G,Human
Q6NTF7,APOBEC3H,Human
P05067,APP,Human
Q9UKG1,APPL1,Human
Q8NEU8,APPL2,Human
P10275,AR,Human
Q6ZSZ5,ARHGEF18,Human
Q99856,ARID3A,Human
P36404,ARL2,Human
Q9Y2Y0,ARL2BP,Human
O00327,ARNTL,Human
P49407,ARRB1,Human
Q13510,ASAH1,Human
P15336,ATF2,Human
P18850,ATF6,Human
Q99941,ATF6B,Human
P54259,ATN1,Human
P54253,ATXN1,Human
P0C7T5,ATXN1L,Human
O15265,ATXN7,Human
Q8WXX7,AUTS2,Human
O15169,AXIN1,Human
O95817,BAG3,Human
P46379,BAG6,Human
O75531,BANF1,Human
Q16520,BATF,Human
O95999,BCL10,Human
Q9H165,BCL11A,Human
Q5T5X7,BEND3,Human
Q9HBH7,BEX1,Human
Q00994,BEX3,Human
O14503,BHLHE40,Human
Q13490,BIRC2,Human
Q96CA5,BIRC7,Human
Q9H2G9,BLZF1,Human
Q6PJG6,BRAT1,Human
P55201,BRPF1,Human
Q8TDC3,BRSK1,Human
Q9Y2F9,BTBD3,Human
Q5XKL5,BTBD8,Human
Q06187,BTK,Human
Q13901,C1D,Human
Q96LT7,C9orf72,Human
Q16790,CA9,Human
Q8WUQ7,CACTIN,Human
Q9HB71,CACYBP,Human
P27708,CAD,Human
Q9P1Z2,CALCOCO1,Human
Q13137,CALCOCO2,Human
Q96S95,CAMK2N2,Human
Q96LW7,CARD19,Human
O15234,CASC3,Human
P51636,CAV2,Human
Q75N03,CBLL1,Human
P45973,CBX5,Human
Q9H6E4,CCDC134,Human
Q6PII3,CCDC174,Human
Q8N998,CCDC89,Human
Q13939,CCIN,Human
P20248,CCNA2,Human
P24385,CCND1,Human
P30279,CCND2,Human
P30281,CCND3,Human
P41002,CCNF,Human
Q99459,CDC5L,Human
Q96GN5,CDCA7L,Human
P06493,CDK1,Human
O75956,CDK2AP2,Human
P11802,CDK4,Human
Q00534,CDK6,Human
P50613,CDK7,Human
P50750,CDK9,Human
P46527,CDKN1B,Human
P42772,CDKN2B,Human
P17676,CEBPB,Human
Q8WUJ3,CEMIP,Human
Q6PRD7,CEMP1,Human
Q49MI3,CERKL,Human
P23528,CFL1,Human
P13569,CFTR,Human
Q8N884,CGAS,Human
Q8WUX9,CHMP7,Human
Q99653,CHP1,Human
O43745,CHP2,Human
O15111,CHUK,Human
Q9C0C6,CIPC,Human
Q14011,CIRBP,Human
Q99966,CITED1,Human
O00299,CLIC1,Human
O15516,CLOCK,Human
O94985,CLSTN1,Human
Q9Y471,CMAHP,Human
Q8IY22,CMIP,Human
Q8N3K9,CMYA5,Human
Q8N668,COMMD1,Human
Q8NHY2,COP1,Human
Q8NE35,CPEB3,Human
Q6PUV4,CPLX2,Human
Q96FN4,CPNE2,Human
O75131,CPNE3,Human
Q16630,CPSF6,Human
Q8N684,CPSF7,Human
P29373,CRABP2,Human
O43889,CREB3,Human
Q96BA8,CREB3L1,Human
Q70SY1,CREB3L2,Human
Q68CJ9,CREB3L3,Human
Q8TEY5,CREB3L4,Human
Q92793,CREBBP,Human
Q6UUV9,CRTC1,Human
Q53ET0,CRTC2,Human
Q6UUV7,CRTC3,Human
Q16526,CRY1,Human
P02489,CRYAA,Human
A0A140G945,CRYAA2,Human
P02511,CRYAB,Human
Q9Y534,CSDC2,Human
P55060,CSE1L,Human
P35222,CTNNB1,Human
O60716,CTNND1,Human
Q13618,CUL3,Human
Q9NTM9,CUTC,Human
Q9H5V9,CXorf56,Human
Q96F07,CYFIP2,Human
Q9NYF0,DACT1,Human
Q14118,DAG1,Human
O43293,DAPK3,Human
Q9UER7,DAXX,Human
P61962,DCAF7,Human
Q5TAQ9,DCAF8,Human
Q8TF63,DCANP1,Human
Q96C86,DCPS,Human
Q16531,DDB1,Human
Q8IXT1,DDIAS,Human
