"Organism","Core or NonCore","Mean of Sample Mean","Standard Deviation","Mean of Sample Mean First","Std Dev First","Mean of Sample Mean Second","Std Dev Second","Mean of Sample Mean Third","Std Dev Third"
"Human","Core","2.326688639610236","0.20289796766702475","2.699235969236243","0.28997761433328856","1.7172127661018006","0.2598513589157139","2.562054907882471","0.31883697458285803"
"Human","NonCore","3.443053019586524","0.06529406909386626","3.62770623359773","0.08376298427210982","3.2179370886835015","0.08348760626786209","3.483225038894111","0.08460415456192895"
"Cow","Core","2.1709198730511394","0.34779510001745034","2.3171568610508597","0.6059992086865973","1.3017792609454377","0.3413299116294465","2.890507298824521","0.4744661584839932"
"Cow","NonCore","3.257791059518157","0.1692739519473562","3.6212994633140942","0.22397502633234045","2.6982551389244533","0.20122806519846562","3.454217868872315","0.20748992079471962"
"Mouse","Core","2.3431151786975626","0.22884406327233314","2.78475585309819","0.34413268651954765","1.6626474646182106","0.28751987216347935","2.581324504808377","0.3557491214771818"
"Mouse","NonCore","3.437082387839348","0.07073029171223419","3.63589167645094","0.09059001684280517","3.1621266704888567","0.09156540207212044","3.512940951521557","0.09283426953145839"
"Zebrafish","Core","1.6715077615143787","0.26221672160443826","1.4128782805105355","0.4309162821061051","0.4754942141772085","0.09648520870892585","3.1358048719665077","0.8506547453249202"
"Zebrafish","NonCore","3.5528093699711825","0.28885913856557605","3.593180994894685","0.32562796809893557","3.6860741202715994","0.37925866460116076","3.377755238881499","0.353427813356252"
"Fly","Core","1.8041629746327503","0.35957780358312974","2.1946902056277056","0.7451221202678238","0.7412563131313131","0.31781698967919336","2.4755738778765095","1.1083865974405962"
"Fly","NonCore","3.39369609715731","0.2560855842345678","3.614575768663024","0.3163392891191874","3.1014143002910206","0.3491456279159228","3.462823031494504","0.323240706586445"
"Worm","Core","1.27440153172733","0.3540514313148652","0.8497896349030504","0.184170115511547","1.3184404357605963","1.0215317422126724","1.6578358007811542","0.4726684878048276"
"Worm","NonCore","3.1448802147672024","0.21437984971186924","3.859531691068308","0.3040061599039517","2.5735810766740506","0.2950917698761979","2.99935089318896","0.2786734130666278"
"Yeast","Core","1.6815118265550852","0.17695014491674108","1.457631891871482","0.3235079501662021","1.133832703418794","0.3638141007587762","2.4567009679183474","0.47801854270243604"
"Yeast","NonCore","2.8516718320518653","0.18963269040713168","3.1858118192054383","0.25495340797041166","2.280396198740099","0.22405625481591226","3.090314121755179","0.23633839594388456"
"Frog","Core","1.8730650154798762","0.5103298303085572","0.9822001527883881","0.2744893829514166","0.7287409889110811","0.3615826331605845","3.912194929886932","1.7546986925791006"
"Frog","NonCore","3.497695292854773","0.3731941592216285","3.4708644919932228","0.5403451224170219","2.6386827611432797","0.4378284604878302","4.377644481677186","0.5556236976012087"
