Entry,Gene,Organism
O43572,AKAP10,Human
Q13268,DHRS2,Human
O43521,BCL2L11,Human
P55957,BID,Human
Q86TL0,ATG4D,Human
Q9UMX3,BOK,Human
P36404,ARL2,Human
Q9ULZ3,PYCARD,Human
P12236,SLC25A6,Human
Q02318,CYP27A1,Human
P00519,ABL1,Human
O75153,CLUH,Human
Q07021,C1QBP,Human
Q9BXH1,BBC3,Human
Q49B96,COX19,Human
P15336,ATF2,Human
P21554,CNR1,Human
Q14410,GK2,Human
P63167,DYNLL1,Human
O00746,NME4,Human
P05181,CYP2E1,Human
Q9NR30,DDX21,Human
Q9UMX5,NENF,Human
P04637,TP53,Human
Q8IXI1,RHOT2,Human
Q8NCR3,MFI,Human
O43464,HTRA2,Human
P06493,CDK1,Human
O60543,CIDEA,Human
Q07820,MCL1,Human
Q330K2,NDUFAF6,Human
Q13114,TRAF3,Human
O00141,SGK1,Human
A2RU30,TESPA1,Human
O95153,TSPOAP1,Human
Q9BQ52,ELAC2,Human
O60260,PRKN,Human
Q5BJD5,TMEM41B,Human
Q9UBF8,PI4KB,Human
Q96P20,NLRP3,Human
P10909,CLU,Human
Q12849,GRSF1,Human
Q96RR1,TWNK,Human
P29353,SHC1,Human
Q3MIT2,PUS10,Human
P00441,SOD1,Human
Q99417,MYCBP,Human
Q494U1,PLEKHN1,Human
Q8WXG1,RSAD2,Human
Q8IXI2,RHOT1,Human
P08253,MMP2,Human
P53779,MAPK10,Human
Q8NEN9,PDZD8,Human
P42704,LRPPRC,Human
O60936,NOL3,Human
P29590,PML,Human
Q99972,MYOC,Human
Q9P286,PAK5,Human
O15294,OGT,Human
Q96N66,MBOAT7,Human
P22307,SCP2,Human
Q96C03,MIEF2,Human
Q8N9F0,NAT8L,Human
Q6P597,KLC3,Human
O60829,PAGE4,Human
O94925,GLS,Human
Q96S66,CLCC1,Human
Q9NVI7,ATAD3A,Human
Q66K74,MAP1S,Human
Q9NX47,MARCHF5,Human
Q6IMN6,CAPRIN2,Human
Q00994,BEX3,Human
Q9Y375,NDUFAF1,Human
O00571,DDX3X,Human
O00429,DNM1L,Human
P52789,HK2,Human
Q16595,FXN,Human
Q9UJC3,HOOK1,Human
Q8TAE8,GADD45GIP1,Human
P31689,DNAJA1,Human
P19367,HK1,Human
Q96ED9,HOOK2,Human
Q8IWL3,HSCB,Human
P41250,GARS1,Human
P09211,GSTP1,Human
O95831,AIFM1,Human
Q01484,ANK2,Human
Q9H2U1,DHX36,Human
Q9Y3I1,FBXO7,Human
P53618,COPB1,Human
Q9H4I9,SMDT1,Human
O43427,FIBP,Human
Q00796,SORD,Human
Q969F0,FATE1,Human
Q5TYM5,FAM72A,Human
Q13227,GPS2,Human
P27695,APEX1,Human
Q9H8Y5,ANKZF1,Human
Q02790,FKBP4,Human
Q92499,DDX1,Human
P49916,LIG3,Human
Q14296,FASTK,Human
Q9Y2Y0,ARL2BP,Human
Q9NSK7,C19orf12,Human
Q92843,BCL2L2,Human
Q9BVG9,PTDSS2,Human
P48651,PTDSS1,Human
P04049,RAF1,Human
Q7Z419,RNF144B,Human
Q9UPV9,TRAK1,Human
O95292,VAPB,Human
Q9BXR0,QTRT1,Human
Q6GPH4,XAF1,Human
Q9BZY9,TRIM31,Human
Q99536,VAT1,Human
O60296,TRAK2,Human
Q9NQ88,TIGAR,Human
Q8IUC6,TICAM1,Human
P56962,STX17,Human
Q32P41,TRMT5,Human
O43236,SEPTIN4,Human
Q96HS1,PGAM5,Human
Q9HCM9,TRIM39,Human
Q9UBM1,PEMT,Human
Q8WWV3,RTN4IP1,Human
Q5T1C6,THEM4,Human
Q9NZC7,WWOX,Human
Q96JX3,SERAC1,Human
Q9Y2W6,TDRKH,Human
Q6P4H8,ATPSCKMT,Human
Q96KC9,CABS1,Human
P54861,DNM1,Yeast
Q3E7A9,CMC4,Yeast
P40458,ATG32,Yeast
Q05809,COA4,Yeast
P36064,CMC1,Yeast
Q92328,MDM12,Yeast
Q12181,TAH18,Yeast
Q08214,NTG2,Yeast
P53083,MDM34,Yeast
P36130,CAF4,Yeast
P38221,CDS1,Yeast
Q3E7A4,CMC2,Yeast
P36532,MRPL37,Yeast
Q12487,MRPL23,Yeast
P38120,MRPS9,Yeast
P10662,MRP1,Yeast
P53733,RSM19,Yeast
P32340,NDI1,Yeast
P25348,MRPL32,Yeast
P53879,RHO5,Yeast
P36523,MRPL15,Yeast
P39707,SEN34,Yeast
P23369,MRPL25,Yeast
Q02608,MRPS16,Yeast
Q04599,MRPL1,Yeast
P12687,MRP7,Yeast
Q01163,RSM23,Yeast
Q03778,FMN1,Yeast
P36528,MRPL17,Yeast
Q03201,RSM10,Yeast
P07271,PIF1,Yeast
P36526,MRPL27,Yeast
P40202,CCS1,Yeast
P38162,MIX23,Yeast
P53163,MNP1,Yeast
Q08001,LAM6,Yeast
P07884,MOD5,Yeast
Q06630,MHR1,Yeast
P36010,YNK1,Yeast
P51998,YML6,Yeast
Q02204,MRPL13,Yeast
P22354,MRPL20,Yeast
Q06678,MRPL35,Yeast
P36531,MRPL36,Yeast
P53881,MRPL22,Yeast
P39952,OXA1,Yeast
P21771,MRPS28,Yeast
Q04675,SEN15,Yeast
P00445,SOD1,Yeast
P53875,MRPL19,Yeast
P32904,MRPL6,Yeast
Q06090,MRPL51,Yeast
Q02950,MRP51,Yeast
P20084,MRPL33,Yeast
P41800,MMM1,Yeast
P27929,NAM9,Yeast
P36516,MRPL3,Yeast
P32611,RML2,Yeast
P22353,MRPL8,Yeast
P36520,MRPL10,Yeast
Q03246,MRPS17,Yeast
Q02772,PET191,Yeast
P36517,MRPL4,Yeast
P40033,RSM18,Yeast
P46989,ATG27,Yeast
P47025,MDV1,Yeast
Q12142,ATG9,Yeast
P38297,FZO1,Yeast
P07170,ADK1,Yeast
Q07799,LMO1,Yeast
P18409,MDM10,Yeast
P39518,FAA2,Yeast
Q01519,COX12,Yeast
P08417,FUM1,Yeast
Q06409,DCK1,Yeast
P25642,IMG2,Yeast
P25626,IMG1,Yeast
P28817,EHD3,Yeast
P32785,FMT1,Yeast
P35197,GCS1,Yeast
Q3E846,COA6,Yeast
P19414,ACO1,Yeast
P32898,CYM1,Yeast
P48558,BXI1,Yeast
P36037,DOA1,Yeast
P39006,PSD1,Yeast
P42847,MRPS18,Yeast
P32902,MRP4,Yeast
P53305,RSM27,Yeast
P36521,MRPL11,Yeast
P36527,MRPL28,Yeast
P35996,MRPL38,Yeast
P36519,MRPL7,Yeast
P31334,MRPL9,Yeast
P34760,TSA1,Yeast
P53921,,Yeast
P17558,PET123,Yeast
P12686,MRP13,Yeast
P47150,RSM7,Yeast
Q03799,MRPS8,Yeast
P16658,SEN2,Yeast
P38793,TRM5,Yeast
Q04311,VMS1,Yeast
Q12071,VPS54,Yeast
P38175,MRP21,Yeast
P35691,TMA19,Yeast
P32897,TIM23,Yeast
P36534,MRPL40,Yeast
P32387,MRP20,Yeast
P36525,MRPL24,Yeast
Q03976,RSM24,Yeast
Q02825,SEN54,Yeast
P19956,MRPL44,Yeast
P38064,MRPL16,Yeast
P36533,MRPL39,Yeast
P47141,RSM26,Yeast
P02381,VAR1,Yeast
P40858,MRPL49,Yeast
P28778,MRP17,Yeast
P33759,MRPS5,Yeast
P10663,MRP2,Yeast
P32388,MRP49,Yeast
Q23571,dbt-1,Worm
P41958,ced-9,Worm
Q23272,atfs-1,Worm
Q20748,atad-3,Worm
P42573,ced-3,Worm
Q9U389,allo-1,Worm
Q18425,sphk-1,Worm
P34511,vms-1,Worm
A8WHT1,,Worm
Q9W0G1,Ptp61F,Fly
Q9VFJ3,HtrA2,Fly
O01352,dj,Fly
Q8IRE4,,Fly
Q5FW25,arl2bp,Frog
Q08D11,ptdss2,Frog
Q6DJ35,,Frog
F6VSS6,trmt5,Frog
B8A5G9,trmt5,Zebrafish
E7EY42,ptdss2,Zebrafish
Q803C9,ptdss1,Zebrafish
Q7SXN5,dnm1l,Zebrafish
Q7SYL1,arl2bp,Zebrafish
A1A5V7,tmem41b,Zebrafish
Q5SNQ7,serac1,Zebrafish
Q9EPB4,Pycard,Mouse
Q8K0C8,Cox19,Mouse
Q8VHK9,Dhx36,Mouse
Q99ML1,Bbc3,Mouse
Q05421,Cyp2e1,Mouse
Q8BGV9,Atg4d,Mouse
P28352,Apex1,Mouse
Q9Z0X1,Aifm1,Mouse
P48962,Slc25a4,Mouse
O35425,Bok,Mouse
Q62167,Ddx3x,Mouse
P00520,Abl1,Mouse
Q9D0J4,Arl2,Mouse
Q91VR5,Ddx1,Mouse
Q9D385,Arl2bp,Mouse
Q9DBG1,Cyp27a1,Mouse
Q9JIF7,Copb1,Mouse
P32020,Scp2,Mouse
O70302,Cidea,Mouse
Q8K1M6,Dnm1l,Mouse
Q8JZN7,Rhot2,Mouse
Q91VD9,Ndufs1,Mouse
B9EJ80,Pdzd8,Mouse
Q9EQF6,Dpysl5,Mouse
O08528,Hk2,Mouse
P17710,Hk1,Mouse
Q8BG51,Rhot1,Mouse
Q8C633,Cabs1,Mouse
Q61907,Pemt,Mouse
P81117,Nucb2,Mouse
Q9Z1X2,Ptdss2,Mouse
P98083,Shc1,Mouse
P33434,Mmp2,Mouse
Q9WV84,Nme4,Mouse
Q8R4B8,Nlrp3,Mouse
Q8BSF4,Pisd,Mouse
Q8BKC8,Pi4kb,Mouse
Q06890,Clu,Mouse
Q9D4W2,Mfi,Mouse
Q5NCS9,Mief2,Mouse
Q9D0I4,Stx17,Mouse
Q99N57,Raf1,Mouse
Q8C052,Map1s,Mouse
O70624,Myoc,Mouse
Q9D1X0,Nol3,Mouse
Q8CGY8,Ogt,Mouse
P97287,Mcl1,Mouse
Q8C015,Pak5,Mouse
Q9CQ45,Nenf,Mouse
Q60953,Pml,Mouse
P02340,Tp53,Mouse
D3Z7P3,Gls,Mouse
O55003,Bnip3,Mouse
Q91W40,Klc3,Mouse
Q8CHK3,Mboat7,Mouse
Q7TMK6,Hook2,Mouse
Q9JIY5,Htra2,Mouse
Q8CEK7,Fate1,Mouse
Q8WUR0,,Mouse
Q64429,Cyp1b1,Mouse
Q8BIL5,Hook1,Mouse
Q99LI2,Clcc1,Mouse
Q9JIK5,Ddx21,Mouse
O35943,Fxn,Mouse
Q9D1Z3,Atpsckmt,Mouse
Q9WUF3,Casp8ap2,Mouse
Q3U7U3,Fbxo7,Mouse
P47746,Cnr1,Mouse
P63037,Dnaja1,Mouse
P11440,Cdk1,Mouse
P70345,Bcl2l2,Mouse
P30416,Fkbp4,Mouse
Q9WU65,Gk2,Mouse
Q9WTZ9,Bex3,Mouse
Q921N8,Gps2,Mouse
Q9JIM3,Ercc6l2,Mouse
O88845,Akap10,Mouse
Q9CR59,Gadd45gip1,Mouse
Q9DB10,Smdt1,Mouse
Q64442,Sord,Mouse
Q811T9,Disc1,Mouse
Q925I1,Atad3,Mouse
P70444,Bid,Mouse
Q8K2C6,Sirt5,Mouse
Q7TNF8,Tspoap1,Mouse
Q62465,Vat1,Mouse
Q9WVC6,Sgk1,Mouse
