"Entry","Gene","Organism"
"D0PV95","laf-1","Worm"
"Q10666","pop-1","Worm"
"A0A163UT06","set-17","Worm"
"H9G301","mdt-28","Worm"
"G5EGA3","lem-3","Worm"
"Q19187","gcy-12","Worm"
"P16356","ama-1","Worm"
"H2L056","ubxn-3","Worm"
"P34708","tra-1","Worm"
"U4PCM1","pfs-2","Worm"
"Q95XQ1","sydn-1","Worm"
"O15392","BIRC5","Human"
"Q00987","MDM2","Human"
"Q9UJ55","MAGEL2","Human"
"Q49AN0","CRY2","Human"
"Q6ZNA4","RNF111","Human"
"P0DMW2","NLRP2B","Human"
"Q5TA31","RNF187","Human"
"Q9UNH7","SNX6","Human"
"P61574","HERVK_113","Human"
"P61573","ERVK-9","Human"
"Q96LW4","PRIMPOL","Human"
"P61578","ERVK-16","Human"
"Q92841","DDX17","Human"
"Q86YV5","PRAG1","Human"
"Q9Y6F1","PARP3","Human"
"P61571","ERVK-21","Human"
"Q9ULX5","RNF112","Human"
"Q8N488","RYBP","Human"
"Q6IN85","PPP4R3A","Human"
"P61576","HERV-K104","Human"
"Q86W56","PARG","Human"
"O75044","SRGAP2","Human"
"P61572","ERVK-19","Human"
"Q9UM54","MYO6","Human"
"Q8IUH3","RBM45","Human"
"Q9Y2S7","POLDIP2","Human"
"P15941","MUC1","Human"
"Q86Y91","KIF18B","Human"
"Q9BZL6","PRKD2","Human"
"Q04741","EMX1","Human"
"P61579","ERVK-25","Human"
"Q9HCN4","GPN1","Human"
"Q99933","BAG1","Human"
"Q9BZB8","CPEB1","Human"
"Q03001","DST","Human"
"P49454","CENPF","Human"
"A0A2Z4LIS9","FOXO3B","Human"
"Q14397","GCKR","Human"
"A8MYZ6","FOXO6","Human"
"Q9UKT6","FBXL21P","Human"
"O00213","APBB1","Human"
"Q96PV7","FAM193B","Human"
"Q9UKL3","CASP8AP2","Human"
"Q5T890","ERCC6L2","Human"
"Q9NXW2","DNAJB12","Human"
"Q9NPI6","DCP1A","Human"
"P0DME0","SETSIP","Human"
"A6NIX2","WTIP","Human"
"P61575","ERVK-8","Human"
"P34925","RYK","Human"
"Q09FC8","ZNF415","Human"
"H0YL14","TMEM250","Human"
"P19544","WT1","Human"
"Q86VQ6","TXNRD3","Human"
"Q9C0D0","PHACTR1","Human"
"Q8IWB9","TEX2","Human"
"Q69383","ERVK-6","Human"
"G2XKQ0","SUMO1P1","Human"
"Q5EAB2","CDK9","Cow"
"Q9BDI3","CITED1","Cow"
"Q0II91","DNAJC21","Cow"
"A6QLR3","ABRAXAS2","Cow"
"P35071","CFTR","Cow"
"Q8MJJ7","DCPS","Cow"
"Q6QME8","AGO2","Cow"
"Q17R13","TNK2","Cow"
"Q1LZC5","ANKRD54","Cow"
"Q01314","AKT1","Cow"
"O46382","ARFGEF1","Cow"
"Q0IIK5","DDX1","Cow"
"Q8SQ19","CREB3","Cow"
"P11179","DLST","Cow"
"Q2TBP1","DDX25","Cow"
"A5PKJ4","MAPK7","Cow"
"Q08DS5","NMD3","Cow"
"Q17QG2","NUDC","Cow"
"Q2KJ21","CALCOCO1","Cow"
"Q2T9S7","FBXO7","Cow"
"Q2KIE2","HAX1","Cow"
"Q27966","MYO1C","Cow"
"Q32KY6","DCTPP1","Cow"
"P0C1G6","SWAP70","Cow"
"Q3SWZ6","SBDS","Cow"
"Q5EA11","TTC4","Cow"
"A6H6Z7","TPX2","Cow"
"A4IFC9","PTOV1","Cow"
"P61635","STAT3","Cow"
"F6RRD7","RPAP2","Cow"
"Q32KX0","ISOC2","Cow"
"P10152","ANG1","Cow"
"Q2LGB3","IRAK1","Cow"
"E1BPK6","MYO6","Cow"
"A5D7E9","NFE2L1","Cow"
"Q08E02","NR1D1","Cow"
"Q1JQD2","GRWD1","Cow"
"Q0P5L8","GCAT","Cow"
"Q24K00","NUBP1","Cow"
"G3MWR8","MICAL3","Cow"
"Q2KJ14","PAF1","Cow"
"O97552","POU5F1","Cow"
"A5D962","PHF23","Cow"
"Q3B7L8","RBM22","Cow"
"Q863B3","SND1","Cow"
"Q1JQA2","SMAD1","Cow"
"Q08DR9","SPDL1","Cow"
"A6QR20","SLF1","Cow"
"Q32PE2","RANGRF","Cow"
"Q95KV7","NDUFA13","Cow"
"Q1RML2","PLCZ1","Cow"
"Q2HJ75","RITA1","Cow"
"Q8SQ24","MYOZ1","Cow"
"Q5NUA6","NFE2L2","Cow"
"Q2KIW0","NXT1","Cow"
"Q1W668","SMAD2","Cow"
"Q2TLZ3","MACO1","Cow"
"Q8WML4","MUC1","Cow"
"Q2TA40","NAP1L4","Cow"
"Q7YRV4","TRIM21","Cow"
"Q1RMS5","NXF1","Cow"
"P51122","ANP32A","Cow"
"Q0V8H6","MOV10","Cow"
"Q0P5D2","CPSF6","Cow"
"Q3SYX0","NDRG1","Cow"
"Q08E26","CRTC2","Cow"
"Q2YDM7","LSG1","Cow"
"A6QQ70","MAP1S","Cow"
"Q5E9F7","CFL1","Cow"
"Q2M2T5","COMMD1","Cow"
"Q2HJA5","DTNBP1","Cow"
"Q9XTA5","HIF1A","Cow"
"Q3SZP0","IRF1","Cow"
"Q58DJ0","IRF5","Cow"
"Q3HNG7","H1-8","Cow"
"Q3T197","nan","Cow"
"P48035","FABP4","Cow"
"Q3MI00","DNAJB1","Cow"
"Q08DJ8","HSF1","Cow"
"Q3ZBM4","ITGB1BP1","Cow"
"P05131","PRKACB","Cow"
"Q17QD9","KCNIP3","Cow"
"A6QPC8","EID3","Cow"
"Q58DB6","EYA2","Cow"
"Q95KV1","CHUK","Cow"
"O18738","DAG1","Cow"
"Q3ZC12","EIF3G","Cow"
"A3KMX0","ERCC6L2","Cow"
"O02755","CEBPB","Cow"
"Q0P5D3","CCND2","Cow"
"Q28009","FUS","Cow"
"Q28053","APP","Cow"
"Q29RS0","CCDC89","Cow"
"E1BPQ1","FOXO1","Cow"
"A9Q1J7","DPPA3","Cow"
"Q9TRY0","FKBP4","Cow"
"Q8HXK9","PYCARD","Cow"
"Q2KJC1","CDC5L","Cow"
"Q58DR2","DNAJB12","Cow"
"Q95120","DMP1","Cow"
"Q27958","POLB","Cow"
"Q2NKU9","EMP2","Cow"
"Q3MHH5","CCND3","Cow"
"Q29S16","ABITRAM","Cow"
"Q29RR5","TFIP11","Cow"
"Q27ID4","TERT","Cow"
"A7E3S4","RAF1","Cow"
"O19110","TSPY1","Cow"
"E1BM58","PRX","Cow"
"Q1HE26","SMAD4","Cow"
"A4IFB1","SRRT","Cow"
"Q5E9L6","STK4","Cow"
"Q95115","STAT5A","Cow"
"Q2M2T9","TERB2","Cow"
"Q3B7M4","ZNF746","Cow"
"P53781","ZFP36","Cow"
"A5D785","CSE1L","Cow"
"A4IFQ0","THOC5","Cow"
"Q9XSJ0","UCHL5","Cow"
"Q17QZ4","TFDP1","Cow"
"Q9TUM3","STAT5B","Cow"
"Q3ZBU9","UBXN4","Cow"
"A5PK39","TPP2","Cow"
"Q2TBX2","VBP1","Cow"
"Q08DF2","RNF112","Cow"
"Q9BG99","TREX1","Cow"
"Q32KP0","SMRP1","Cow"
"Q2PT36","AICDA","Cow"
"P80929","ANG2","Cow"
"P23196","APEX1","Cow"
"Q9R144","Prmt2","Mouse"
"Q6NZG4","Ddias","Mouse"
"O70133","Dhx9","Mouse"
"A0A087WPF7","Auts2","Mouse"
"F6VAN0","Atf6","Mouse"
"P30561","Ahr","Mouse"
"Q9R0L7","Akap8l","Mouse"
"O54967","Tnk2","Mouse"
"P97802","Ang3","Mouse"
"Q69Z36","Mex3b","Mouse"
"Q03267","Ikzf1","Mouse"
"P11260","Lire1","Mouse"
"Q3UE17","Mex3d","Mouse"
"O88895","Hdac3","Mouse"
"Q91ZX7","Lrp1","Mouse"
"Q5HZI1","Mtus1","Mouse"
"O09000","Ncoa3","Mouse"
"F6ZDS4","Tpr","Mouse"
"O35516","Notch2","Mouse"
"P42228","Stat4","Mouse"
"O89026","Robo1","Mouse"
"Q9Z2H2","Rgs6","Mouse"
"Q9EPW0","Inpp4a","Mouse"
"Q3UMQ8","Naf1","Mouse"
"P42859","Htt","Mouse"
"Q8CJ19","Mical3","Mouse"
"P31695","Notch4","Mouse"
"P37238","Pparg","Mouse"
"Q9QWT9","Kifc1","Mouse"
"G3UYX5","Rgs22","Mouse"
"Q62191","Trim21","Mouse"
"Q60806","Plk3","Mouse"
"Q64331","Myo6","Mouse"
"Q571I4","Prag1","Mouse"
"Q8BFX1","Rnf187","Mouse"
"Q02496","Muc1","Mouse"
"O55103","Prx","Mouse"
"Q7TPH6","Mycbp2","Mouse"
"Q923B3","Nrif1","Mouse"
"Q9EQJ9","Magi3","Mouse"
"Q8VC57","Kctd5","Mouse"
"Q2VPU4","Mlxip","Mouse"
"Q8BQY8","Hus1","Mouse"
"O08609","Mlx","Mouse"
"P38533","Hsf2","Mouse"
"Q501J6","Ddx17","Mouse"
"Q91ZP3","Lpin1","Mouse"
"Q61083","Map3k2","Mouse"
"P06537","Nr3c1","Mouse"
"D0VYS2","Hsf3","Mouse"
"Q60680","Chuk","Mouse"
"Q00558","F8a1","Mouse"
"Q9DCR4","Eid1","Mouse"
"Q9QXM1","Jmy","Mouse"
"Q70KF4","Cmya5","Mouse"
"Q9Z2V6","Hdac5","Mouse"
"O35668","Hap1","Mouse"
"P18760","Cfl1","Mouse"
"Q61817","Creb3","Mouse"
"P0DJI6","Fcor","Mouse"
"O35613","Daxx","Mouse"
"Q9ER69","Wtap","Mouse"
"Q9WTL8","Arntl","Mouse"
"Q7TN99","Cpeb3","Mouse"
"P35922","Fmr1","Mouse"
"Q3V124","Eid3","Mouse"
"Q9Z125","Creb3l1","Mouse"
"Q6P9P0","Slf2","Mouse"
"Q8K243","Trim68","Mouse"
"O54781","Srpk2","Mouse"
"Q80TF6","Stard9","Mouse"
"Q8K1X1","Wdr11","Mouse"
"Q9JLC8","Sacs","Mouse"
"Q62417","Sorbs1","Mouse"
"Q8VCH8","Ubxn4","Mouse"
"P22561","Wt1","Mouse"
"Q64092","Tfe3","Mouse"
"Q8BKT7","Thoc5","Mouse"
"P08042","Zfp1","Mouse"
"Q91ZM2","Sh2b1","Mouse"
"Q91VW9","Zkscan3","Mouse"
"Q62520","Zic2","Mouse"
"Q9ESN2","Trim39","Mouse"
"D2EAC2","Zbed6","Mouse"
"Q61329","Zfhx3","Mouse"
"O88196","Ttc3","Mouse"
"P35918","Kdr","Mouse"
"Q3UPF5","Zc3hav1","Mouse"
"Q7TT45","Rragd","Mouse"
"Q9WUU8","Tnip1","Mouse"
"Q6A4J8","Usp7","Mouse"
"O54943","Per2","Mouse"
"P97814","Pstpip1","Mouse"
"Q99MD6","Txnrd3","Mouse"
"P42225","Stat1","Mouse"
"Q9WVL2","Stat2","Mouse"
"Q8CGV9","Tshz3","Mouse"
"Q28GH3","uba2","Frog"
"Q3SA47","tbx5","Frog"
"Q6P2Z6","nmd3","Frog"
"A2RUV0","notch1","Frog"
"Q66JG0","ola1","Frog"
"Q28BL7","pou2f1","Frog"
"Q6P829","nosip","Frog"
"Q5EB47","lin28a","Frog"
"A8E4X8","jmy","Frog"
"A4IIW0","mab21l2","Frog"
