Entry,Gene,Organism
P81299,cdc-14,Worm
G5EG86,brc-2,Worm
Q27511,htz-1,Worm
Q21017,kin-29,Worm
P46577,gop-2,Worm
Q23544,fic-1,Worm
P90994,djr-1.1,Worm
G5EFI7,myrf-1,Worm
Q9TYT3,shc-1,Worm
P46582,sumv-1,Worm
Q23202,sbds-1,Worm
Q21921,sir-2.1,Worm
Q18711,mxl-3,Worm
D9PTN5,myrf-2,Worm
O62106,eif-6,Worm
Q09490,lgg-1,Worm
Q9U9Y8,lit-1,Worm
P55853,smo-1,Worm
Q2PJ68,sgk-1,Worm
Q8I113,mnk-1,Worm
O17898,nhr-60,Worm
Q20085,wee-1.1,Worm
Q21691,nrde-3,Worm
P34418,mig-39,Worm
Q19541,pid-1,Worm
Q10124,pqe-1,Worm
Q23272,atfs-1,Worm
Q09357,mett-10,Worm
G5ED47,hizr-1,Worm
P34609,unc-16,Worm
Q22663,glb-26,Worm
Q23357,cdk-11.2,Worm
Q9TXJ0,cmk-1,Worm
O16850,daf-16,Worm
G5EEN4,gck-3,Worm
P91277,hrpk-1,Worm
Q17569,ddi-1,Worm
Q22307,rha-1,Worm
O76360,egl-4,Worm
Q21227,apr-1,Worm
Q93560,blmp-1,Worm
G5EE01,daf-18,Worm
Q8WT44,cyk-3,Worm
G5EGQ6,ten-1,Worm
Q20977,sta-2,Worm
Q19404,yap-1,Worm
D0VWM8,tdp-1,Worm
Q19360,rfl-1,Worm
Q9NEZ5,unc-95,Worm
Q9U3F4,zyx-1,Worm
Q10953,wrm-1,Worm
A8WHT1,,Worm
Q11098,tsp-17,Worm
G5EEU2,set-25,Worm
B7FAS6,sam-10,Worm
P34707,skn-1,Worm
O17915,ran-1,Worm
Q9NAD6,sta-1,Worm
G5EGU9,szy-20,Worm
Q17963,wdr-5.1,Worm
Q22146,frk-1,Worm
Q00684,CDC14,Yeast
Q03771,ACL4,Yeast
Q12291,BMT6,Yeast
Q06834,ASR1,Yeast
P46672,ARC1,Yeast
P40024,ARB1,Yeast
P19880,YAP1,Yeast
P43563,MOB2,Yeast
P34160,STO1,Yeast
Q12285,MDY2,Yeast
P25293,NAP1,Yeast
P38861,NMD3,Yeast
P34078,LTV1,Yeast
