"Human","Cow","Mouse","Zebrafish","Fly","Worm","Yeast","Frog"
"AGL","AGL","Agl","agla","CG9485","agl-1","GDB1","agl"
"ARPC3","ARPC3","Arpc3","arpc3","Arpc3A","arx-5","ARC18","arpc3"
"ARFGEF1","ARFGEF1","Arfgef1","arfgef1","sec71","agef-1","SEC7","arfgef1"
"ARF6","ARF6","Arf6","arf6b","Arf51F","arf-6","ARF3","arf6.2"
"WBSCR22","WBSCR22","Wbscr22","wbscr22","CG10903","C27F2.4","BUD23","wbscr22"
"MNAT1","MNAT1","Mnat1","mnat1","Mat1","mnat-1","TFB3","mnat1"
"COPA","COPA","Copa","copa","alphaCop","Y71F9AL.17","COP1","copa"
"CSTF3","CSTF3","Cstf3","cstf3","su(f)","suf-1","RNA14","cstf3"
"DIS3","DIS3","Dis3","dis3","Dis3","dis-3","DIS3","dis3"
"SUPT6H","SUPT6H","Supt6","supt6h","Spt6","emb-5","SPT6","supt6h"
"DNAJC21","DNAJC21","Dnajc21","dnajc21","CG2790","dnj-17","JJJ1","dnajc21"
"EIF3G","EIF3G","Eif3g","eif3g","CG8636","eif-3.G","TIF35","eif3s4"
"EIF6","EIF6","Eif6","eif6","eIF6","eif-6","TIF6","eif6"
"GAPDH","GAPDH","Gapdh","gapdh","Gapdh2","gpd-1","TDH1","gapdh"
"GRWD1","GRWD1","Grwd1","grwd1","l(2)09851","CELE_Y54H5A.1","RRB1","grwd1"
"HSP90AB1","HSP90AB1","Hsp90ab1","hsp90ab1","Hsp83","daf-21","HSP82","hsp90ab1"
"HSPA4","HSPA4","Hspa4","hspa4b","Hsc70Cb","C30C11.4","SSE1","hspa4"
"VCP","VCP","Vcp","vcp","TER94","cdc-48.1","CDC48","vcp"
"KARS","KARS","Kars","kars","Aats-lys","kars-1","KRS1","kars"
"KAT5","KAT5","Kat5","zgc:92510","Tip60","mys-1","ESA1","kat5"
"KRR1","KRR1","Krr1","krr1","dbe","C05C8.2","KRR1","krr1"
"LSG1","LSG1","Lsg1","lsg1","ns3","C53H9.2","LSG1","lsg1"
"ENO1","ENO1","Gm5506","eno1a","Eno","enol-1","ERR3","eno1"
"CORO1C","CORO1C","Coro1c","coro1ca","coro","cor-1","CRN1","coro1c"
"MRTO4","MRTO4","Gm5633","mrto4","RpLP0-like","F10E7.5","MRT4","mrto4"
"NMD3","NMD3","Nmd3","nmd3","Nmd3","T25G3.3","NMD3","nmd3"
"NUBP1","NUBP1","Nubp1","nubp1","CG17904","F10G8.6","NBP35","nubp1"
"NVL","NVL","Nvl","nvl","smid","mac-1","RIX7","nvl"
"NXF1","NXF1","Nxf1","nxf1","sbr","nxf-1","MEX67","nxf1"
"NUTF2","NUTF2","Nutf2","nutf2","Ntf-2","ran-4","NTF2","nutf2"
"OGDH","OGDH","Ogdh","ogdhb","Nc73EF","ogdh-1","KGD1","ogdh"
"OLA1","OLA1","Ola1","ola1","CG1354","tag-210","OLA1","ola1"
"PRDX6","PRDX6","Prdx6","prdx6","Prx6005","prdx-6","PRX1","prdx6"
"PIN1","PIN1","Pin1","pin1","dod","Y110A2AL.13","ESS1","pin1"
"PKM","PKM","Pkm","pkma","PyK","pyk-1","CDC19","pkm"
"PRKACB","PRKACB","Prkacb","prkacbb","Pka-C1","kin-1","TPK1","prkacb"
"PRKCE","PRKCE","Prkce","prkceb","Pkc98E","pkc-1","PKC1","prkce"
"PRMT1","PRMT1","Prmt1","prmt1","Art1","prmt-1","HMT1","prmt1"
"PRDX2","PRDX2","Prdx2","prdx2","Jafrac1","prdx-2","TSA1","prdx2"
"RAD23B","RAD23B","Rad23b","rad23b","Rad23","rad-23","RAD23","rad23b"
"RIOK2","RIOK2","Riok2","riok2","CG11859","riok-2","RIO2","riok2"
"RPS3","RPS3","Rps3","rps3","RpS3","rps-3","RPS3","rps3"
"RPSA","RPSA","Rpsa","rpsa","sta","rps-0","RPS0A","rpsa"
"RUVBL1","RUVBL1","Ruvbl1","ruvbl1","pont","ruvb-1","RVB1","ruvbl1"
"RUVBL2","RUVBL2","Ruvbl2","ruvbl2","rept","ruvb-2","RVB2","ruvbl2"
"SARS","SARS","Sars","sars","CG17259","sars-1","SES1","sars"
"SBDS","SBDS","Sbds","sbds","CG8549","sbds-1","SDO1","sbds"
"SHMT1","SHMT1","Shmt1","shmt1","CG3011","mel-32","SHM2","shmt1"
"GARS","GARS","Gars","gars","Aats-gly","gars-1","GRS1","gars"
"SNRPD2","SNRPD2","Snrpd2","snrpd2","SmD2","snr-4","SMD2","snrpd2"
"SNRPD2","SNRPD2","Snrpd2","snrpd2","SmD2","snr-4","SMD2","snrpd2"
"SAE1","SAE1","Sae1","sae1","Aos1","aos-1","AOS1","sae1"
"TP53RK","TP53RK","2810408M09Rik","tp53rk","CG10673","F52C12.6","BUD32","tp53rk"
"PRDX2","PRDX2","Prdx2","prdx2","Jafrac1","prdx-2","TSA1","prdx2"
"TRMT5","TRMT5","Trmt5","trmt5","CG32281","C53A5.17","TRM5","trmt5"
"TTC4","TTC4","Ttc4","ttc4","Dpit47","C17G10.2","CNS1","ttc4"
"TUBA1C","LOC100141266","Tuba1c","tuba1b","alphaTub84D","tba-4","TUB1","tuba1c"
"USP7","USP7","Usp7","usp7","Usp7","math-33","UBP15","usp7"
"VBP1","VBP1","Vbp1","vbp1","mgr","pfd-3","PAC10","vbp1"
"RAD23B","RAD23B","Rad23b","rad23b","Rad23","rad-23","RAD23","rad23b"
"TNPO3","TNPO3","Tnpo3","tnpo3","Trn-SR","tsr-1","MTR10","tnpo3"
"BRF1","BRF1","Brf1","brf1b","Brf","brf-1","BRF1","brf1"
"ZPR1","ZNF259","Zfp259","zpr1","Zpr1","CELE_W03F9.1","ZPR1","znf259"
