"Human","Cow","Mouse","Zebrafish","Fly","Worm","Yeast","Frog"
"ARF6","ARF6","Arf6","arf6b","Arf51F","arf-6","ARF3","arf6.2"
"RAN","RAN","Ran","ran","ran","ran-1","GSP2","ran"
"COPB1","COPB1","Copb1","copb1","betaCop","Y25C1A.5","SEC26","copb1"
"DDX56","DDX56","Ddx56","ddx56","Hlc","CELE_C24H12.4","DBP9","ddx56"
"DNM1L","DNM1L","Dnm1l","dnm1l","Drp1","drp-1","DNM1","dnm1l"
"GK","GK","Gykl1","zgc:172295","Gk","R11F4.1","GUT1","gk"
"TECR","TECR","Tecr","tecrb","Sc2","art-1","TSC13","tecr"
"HSD17B4","HSD17B4","Hsd17b4","hsd17b4","Mfe2","dhs-28","FOX2","hsd17b4"
"SLC25A26","SLC25A26","Slc25a26","slc25a26","CG4743","CELE_D1046.3","PET8","slc25a26"
"SOD1","SOD1","Sod1","sod1","Sod","sod-1","SOD1","sod1"
"SORD","SORD","Sord","LOC570613","Sodh-1","CELE_R04B5.5","SOR2","sord"
"TP53RK","TP53RK","2810408M09Rik","tp53rk","CG10673","F52C12.6","BUD32","tp53rk"
"TRMT5","TRMT5","Trmt5","trmt5","CG32281","C53A5.17","TRM5","trmt5"
